sample_id,model_variant,y_true,y_pred,error_type,error_reason,reviewer_notes
EX00810,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX00830,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX00849,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX00865,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX00874,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX00878,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX00944,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX00960,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX00981,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX01001,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01002,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01014,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX01053,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01076,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01111,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX01175,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX01195,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01225,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX01238,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01266,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX01324,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX01336,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX01388,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01401,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX01420,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01429,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01433,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX01443,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX01460,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX01475,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX01531,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX01579,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX01584,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX01602,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX01607,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01626,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX01658,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX01666,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX01670,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX01675,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01679,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX01680,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01689,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX01692,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX01700,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01704,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01721,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01750,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX01763,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX01778,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX01835,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX01840,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX01844,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX01905,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX01914,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX01918,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX01932,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX01960,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX01996,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02011,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX02036,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX02046,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02082,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02120,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX02249,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX02250,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02255,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX02274,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX02275,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX02298,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02316,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX02339,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX02373,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX02375,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX02468,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02477,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX02506,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX02514,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX02541,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02592,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX02607,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX02610,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX02633,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02649,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX02680,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02691,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX02699,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX02736,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX02747,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX02749,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX02819,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX02821,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX02836,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX02845,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX02847,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX02876,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02920,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX02927,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX02928,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02937,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX02973,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX02979,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX02984,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX02989,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX02993,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX03041,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX03079,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX03149,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX03151,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03163,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX03189,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX03207,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX03216,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX03246,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX03253,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03257,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX03262,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX03318,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX03381,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX03384,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03429,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX03432,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX03538,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03588,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX03646,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX03649,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03690,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX03692,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX03728,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX03731,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX03756,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX03775,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX03783,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX03804,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX03845,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX03855,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX03870,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX03878,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX03904,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX03924,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX03931,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX03962,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX03968,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX03994,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04000,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX04022,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX04043,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX04076,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX04091,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX04092,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX04097,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04153,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX04174,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX04185,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04236,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX04283,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX04297,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX04302,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX04317,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX04320,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX04332,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX04392,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX04415,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04460,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04461,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX04471,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX04474,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX04525,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04605,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX04626,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX04630,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX04634,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX04665,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX04684,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX04708,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX04767,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX04807,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX04808,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX04811,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX04825,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX04843,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX04856,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX04861,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX04871,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX04884,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX04887,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX04911,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04912,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX04944,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX04978,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX05029,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05087,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05101,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX05109,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX05128,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05192,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX05202,weighted_fusion,0,1,false_positive,shadow_mimicking_graphic_contour,Verified ML classification error under: visual_artifacts
EX05210,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX05231,weighted_fusion,1,0,false_negative,roman_urdu_slang_missed,Verified ML classification error under: transliteration_ambiguity
EX05239,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX05241,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX05251,weighted_fusion,1,0,false_negative,out_of_distribution_cultural_slang,Verified ML classification error under: domain_shift
EX05256,weighted_fusion,0,1,false_positive,reclaimed_slang_falsely_flagged,Verified ML classification error under: domain_shift
EX05271,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05282,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX05306,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05320,weighted_fusion,0,1,false_positive,misinterpreted_homophone_in_asr,Verified ML classification error under: asr_drift
EX05333,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX05338,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX05354,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05365,weighted_fusion,1,0,false_negative,implicit_sarcasm_not_detected,Verified ML classification error under: sarcasm_miss
EX05402,weighted_fusion,0,1,false_positive,literal_interpretation_of_satire,Verified ML classification error under: sarcasm_miss
EX05412,weighted_fusion,1,0,false_negative,visual_occlusion_low_light,Verified ML classification error under: visual_artifacts
EX05440,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
EX05468,weighted_fusion,1,0,false_negative,audio_whisper_transcription_drift,Verified ML classification error under: asr_drift
EX05490,weighted_fusion,0,1,false_positive,exaggerated_emotional_voice,Verified ML classification error under: modal_contradiction
EX05556,weighted_fusion,1,0,false_negative,cross_modal_conflict_benign_text,Verified ML classification error under: modal_contradiction
EX05575,weighted_fusion,0,1,false_positive,roman_urdu_token_misclassification,Verified ML classification error under: transliteration_ambiguity
